name,family,directory,source,serif,monospace,script,display,slab serif,small caps,pixel,blackletter,saami_eng,supports_all_characters,split
Alata,Alata,Alata,https://fonts.google.com/specimen/Alata?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,False,True,train
Fjalla One,Fjalla,Fjalla_One,https://fonts.google.com/specimen/Fjalla+One?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,False,True,train
Alatsi,Alatsi,Alatsi,https://fonts.google.com/specimen/Alatsi?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,False,True,train
Arimo,Arimo,Arimo,https://fonts.google.com/specimen/Arimo?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,False,True,train
Great Vibes,Great Vibes,Great_Vibes,https://fonts.google.com/specimen/Great+Vibes?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,True,True,False,False,False,False,False,True,train
Monda,Monda,Monda,https://fonts.google.com/specimen/Monda?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Mansalva,Mansalva,Mansalva,https://fonts.google.com/specimen/Mansalva?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,True,False,False,False,False,False,True,True,train
Ubuntu Mono,Ubuntu,Ubuntu_Mono,https://fonts.google.com/specimen/Ubuntu+Mono?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,True,False,False,False,False,False,False,True,True,train
Anton SC,Anton,Anton_SC,https://fonts.google.com/specimen/Anton+SC?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,True,False,False,True,True,train
Ysabeau,Ysabeau,Ysabeau,https://fonts.google.com/specimen/Ysabeau?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Ysabeau SC,Ysabeau,Ysabeau_SC,https://fonts.google.com/specimen/Ysabeau+SC?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,True,False,False,True,True,train
Ubuntu,Ubuntu,Ubuntu,https://fonts.google.com/specimen/Ubuntu?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Fira Sans,Fira,Fira_Sans,https://fonts.google.com/specimen/Fira+Sans?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Inter Tight,Inter Tight,Inter_Tight,https://fonts.google.com/specimen/Inter+Tight?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Overpass,Overpass,Overpass,https://fonts.google.com/specimen/Overpass?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Overpass Mono,Overpass,Overpass_Mono,https://fonts.google.com/specimen/Overpass+Mono?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,True,False,False,False,False,False,False,True,True,train
Oswald,Oswald,Oswald,https://fonts.google.com/specimen/Oswald?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Anton,Anton,Anton,https://fonts.google.com/specimen/Anton?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Sankofa Display,Sankofa Display,Sankofa_Display,https://fonts.google.com/specimen/Sankofa+Display?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,False,True,True,train
M PLUS Rounded 1c,M PLUS,M_PLUS_Rounded_1c,https://fonts.google.com/specimen/M+PLUS+Rounded+1c?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Noto Mono,Noto,Noto_Sans_Mono,https://fonts.google.com/noto/specimen/Noto+Sans+Mono?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,True,False,False,False,False,False,False,True,True,train
M PLUS 1p,M PLUS,M_PLUS_1p,https://fonts.google.com/specimen/M+PLUS+1p?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Lobster,Lobster,Lobster,https://fonts.google.com/specimen/Lobster?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,True,True,False,False,False,False,True,True,train
Alegreya,Alegreya,Alegreya,https://fonts.google.com/specimen/Alegreya?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,False,False,False,False,False,True,True,train
Fira Sans Condensed,Fira,Fira_Sans_Condensed,https://fonts.google.com/specimen/Fira+Sans+Condensed?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,train
Protest Guerrilla,Protest Guerrilla,Protest_Guerrilla,https://fonts.google.com/specimen/Protest+Guerrilla?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,False,True,False,train
UnifrakturMaguntia,UnifrakturMaguntia,UnifrakturMaguntia,https://fonts.google.com/specimen/UnifrakturMaguntia?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,True,False,False,False,True,,False,train
Splash,Splash,Splash,https://fonts.google.com/specimen/Splash?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,True,True,False,False,False,False,True,False,train
Germania One,Germania One,Germania_One,https://fonts.google.com/specimen/Germania+One?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,True,False,False,train
Source Sans 3,Source,Source_Sans_3,https://fonts.google.com/specimen/Source+Sans+3?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,False,False,train
Kumar One Outline,Kumar One,Kumar_One_Outline,https://fonts.google.com/specimen/Kumar+One+Outline?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,True,False,False,False,False,True,False,train
New Rocker,New Rocker,New_Rocker,https://fonts.google.com/specimen/New+Rocker?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,True,True,False,train
Rampart One,Rampart One,Rampart_One,https://fonts.google.com/specimen/Rampart+One?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,False,,False,train
Cardo,Cardo,Cardo,https://fonts.google.com/specimen/Cardo?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,False,False,False,False,False,True,False,train
News Cycle,News Cycle,News_Cycle,https://fonts.google.com/specimen/News+Cycle?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,False,train
Caudex,Caudex,Caudex,https://fonts.google.com/specimen/Caudex?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,False,False,False,False,False,True,False,train
Kalnia Glaze,Kalnia Glaze,Kalnia_Glaze,https://fonts.google.com/specimen/Kalnia+Glaze?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,True,False,False,False,False,True,False,train
Fascinate Inline,Fascinate Inline,Fascinate_Inline,https://fonts.google.com/specimen/Fascinate+Inline?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,False,True,False,train
DM Serif Display,DM Serif Display,DM_Serif_Display,https://fonts.google.com/specimen/DM+Serif+Display?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,True,False,False,False,False,,False,train
Zilla Slab,Zilla Slab,Zilla_Slab,https://fonts.google.com/specimen/Zilla+Slab?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,False,True,False,False,False,True,False,train
Unlock,Unlock,Unlock,https://fonts.google.com/specimen/Unlock?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,True,False,False,False,False,True,False,train
Libre Baskerville,Libre Baskerville,Libre_Baskerville,https://fonts.google.com/specimen/Libre+Baskerville?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,False,False,False,False,False,True,False,train
Ribeye Marrow,Ribeye Marrow,Ribeye_Marrow,https://fonts.google.com/specimen/Ribeye+Marrow?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,True,True,False,False,False,True,False,train
Mate,Mate,Mate,https://fonts.google.com/specimen/Mate?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,False,False,False,False,False,True,False,train
Pirata One,Pirata One,Pirata_One,https://fonts.google.com/specimen/Pirata+One?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,True,False,False,train
EB Garamond,EB Garamond,EB_Garamond,https://fonts.google.com/specimen/EB+Garamond?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,False,False,False,False,False,True,True,val
LXGW WenKai Mono TC,LXGW WenKai,LXGW_WenKai_Mono_TC,https://fonts.google.com/specimen/LXGW+WenKai+Mono+TC?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,True,False,False,False,False,False,False,True,True,val
Playwrite Cuba,Playwrite,Playwrite_CU,https://fonts.google.com/specimen/Playwrite+CU?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,True,True,False,False,False,False,True,False,val
Pixelify Sans,Pixelify,Pixelify_Sans,https://fonts.google.com/specimen/Pixelify+Sans?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,True,False,True,False,val
Londrina Outline,Londrina,Londrina_Outline,https://fonts.google.com/specimen/Londrina+Outline?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,False,True,False,val
MedievalSharp,MedievalSharp,MedievalSharp,https://fonts.google.com/specimen/MedievalSharp?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,True,True,False,val
Agbalumo,Agbalumo,Agbalumo,https://fonts.google.com/specimen/Agbalumo?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,True,False,False,False,False,False,True,False,val
Nova Cut,Nova Cut,Nova_Cut,https://fonts.google.com/specimen/Nova+Cut?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,True,False,False,val
Freeman,Freeman,Freeman,https://fonts.google.com/specimen/Freeman?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,test
Carlito,Carlito,Carlito,https://fonts.google.com/specimen/Carlito?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,False,False,False,False,False,True,True,test
Dancing Script,Dancing,Dancing_Script,https://fonts.google.com/specimen/Dancing+Script?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,True,True,False,False,False,False,False,False,test
Grenze Gotisch,Grenze Gotisch,Grenze_Gotisch,https://fonts.google.com/specimen/Grenze+Gotisch?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,True,False,False,False,True,False,False,test
UnifrakturCook,UnifrakturCook,UnifrakturCook,https://fonts.google.com/specimen/UnifrakturCook?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,False,False,True,False,False,False,True,False,False,test
Spicy Rice,Spicy Rice,Spicy_Rice,https://fonts.google.com/specimen/Spicy+Rice?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,False,False,True,False,False,False,False,True,False,test
Courier Prime,Courier Prime,Courier_Prime,https://fonts.google.com/specimen/Courier+Prime?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,True,True,False,False,True,False,False,False,True,False,test
VT323,VT323,VT323,https://fonts.google.com/specimen/VT323?preview.text=AÁÂBCČDĐEFGHIÏJKLMNŊOPQRSŠTŦUVWXYZŽÆÄØÖÅaáâbcčdđefghiïjklmnŋopqrsštŧuvwxyzžæäøöåƷǮǦǤǨÕʒǯǧǥǩõéðôûńñ,False,True,False,False,False,False,True,False,True,False,test
